Cap,#,Player,DOB,HT,WT,Games (W-D-L),Goals,Seasons,Debut,Last
790,35,"Laughlin, Peter",1956-03-05,187cm,87kg,25 (14-1-10),46,1977-1980,21y 91d,24y 164d
932,2,"Keays, Terry",1970-05-03,186cm,85kg,25 (7-0-18),29,1991-1992,20y 324d,22y 91d
943,14,"Breman, Todd",1965-10-28,183cm,80kg,25 (5-0-20),24,1992-1993,26y 152d,27y 291d
1060,16,"Bowden, Patrick",1981-08-04,191cm,89kg,25 (11-0-14),15,2006-2007,24y 239d,25y 259d
1084,24,"Collins, Andrew",1988-11-17,184cm,72kg,25 (8-0-17),23,2009-2010,20y 153d,21y 285d
7,,"Hill, Herbert",1887-11-28,178cm,71kg,24 (9-0-15),4,1908-1909,20y 156d,21y 238d
133,21,"Cronk, Jack",1890-09-10,188cm,,24 (7-1-16),11,1914-1917,23y 283d,26y 293d
252,31,"Valentine, George",1899-06-20,173cm,76kg,24 (11-0-13),4,1924-1926,25y 1d,27y 69d
298,21,"McCormack, Jack",1904-06-04,175cm,76kg,24 (16-1-7),74,1927-1929,23y 63d,25y 60d
643,22,"Selleck, Roy",1944-02-22,183cm,76kg,24 (9-0-15),2,1962-1964,18y 149d,20y 182d
659,6,"Gowers, Trevor",1945-04-26,180cm,80kg,24 (13-0-11),5,1964-1966,18y 358d,21y 60d
912,51,"Pym, Chris",1966-04-23,185cm,85kg,24 (8-0-16),13,1988-1989,22y 28d,23y 105d
989,28,"Moore, Ben",1977-07-04,180cm,75kg,24 (14-0-10),11,1996-1999,18y 347d,22y 54d
1107,13,"Miller, Brad",1983-07-06,194cm,96kg,24 (11-0-13),31,2011-2012,27y 283d,28y 360d
1180,38,"Cumberland, Noah",2001-03-15,183cm,80kg,24 (7-1-16),33,2022-2024,21y 73d,23y 92d
21,,"Chapman, Doug",1889-05-24,191cm,86kg,23 (6-0-17),5,1908-1909,18y 358d,20y 103d
281,25,"OBrien, Frank",1900-05-02,173cm,73kg,23 (15-0-8),5,1926-1928,26y 20d,28y 24d
357,10,"Wells, Billy",1916-02-01,182cm,81kg,23 (15-1-7),2,1936-1937,20y 119d,21y 215d
496,23,"Ednie, Ray",1927-10-03,180cm,86kg,23 (12-0-11),13,"1950, 1952-1953",22y 201d,25y 211d
602,7,"Hayes, Alan",1939-05-24,173cm,80kg,23 (8-0-15),10,1959-1962,20y 13d,22y 346d
676,38,"Dickeson, Wilf",1943-08-18,177cm,73kg,23 (15-1-7),,1965-1966,21y 249d,22y 339d
691,18,"Shinners, Kevin",1945-03-24,180cm,83kg,23 (19-0-4),,1967-1968,22y 22d,23y 125d
1091,47,"Nason, Ben",1989-06-03,179cm,73kg,23 (9-0-14),17,2010-2011,20y 295d,21y 346d
1143,31,"Markov, Oleg",1996-05-08,188cm,82kg,23 (12-0-11),3,"2016-2017, 2019-2020",20y 62d,24y 126d
168,9,"Gleeson, Denis",1896-01-19,,,22 (6-1-15),,1917-1918,21y 120d,22y 203d
228,9,"Hislop, Gordon",1901-06-01,180cm,83kg,22 (10-0-12),,1923-1924,21y 338d,23y 118d
493,18,"Allen, Tom",1930-04-18,180cm,83kg,22 (8-0-14),8,1949-1952,19y 96d,22y 78d
638,17,"McMillan, Brian",1941-01-16,178cm,83kg,22 (4-0-18),6,1962-1964,21y 95d,23y 163d
866,30,"McKenna, Michael",1961-04-04,171cm,71kg,22 (9-0-13),10,1985,23y 360d,24y 149d
114,12,"Martyn, Percy",1891-05-11,179cm,,21 (8-0-13),50,1913-1915,21y 357d,23y 355d
166,18,"Rudd, Billy",1894-02-27,185cm,82kg,21 (6-1-14),8,1917-1918,23y 74d,24y 164d
167,25,"Fehring, Charlie",1899-03-21,188cm,108kg,21 (9-1-11),24,1917-1919,18y 59d,20y 127d
310,17,"Dunne, Tom",1906-11-12,183cm,78kg,21 (13-0-8),1,1929-1931,22y 180d,24y 332d
361,32,"Grant, Geoff",1914-12-02,168cm,66kg,21 (11-1-9),3,1936-1938,21y 278d,23y 163d
504,17,"Clarke, Fred",1932-12-01,183cm,92kg,21 (8-0-13),,1951-1953,18y 141d,20y 173d
589,21,"Holt, Colin",1934-04-27,175cm,80kg,21 (6-0-15),2,1958-1959,24y 48d,25y 110d
622,32,"Moloney, Basil",1941-02-10,178cm,77kg,21 (4-0-17),3,1961-1963,20y 71d,22y 160d
947,16,"Jackson, Stevan",1970-03-09,190cm,102kg,21 (5-0-16),30,1992-1993,22y 19d,23y 45d
1053,13,"Knobel, Trent",1980-05-23,204cm,106kg,21 (10-0-11),4,2005-2006,24y 308d,26y 11d
1067,43,"Howat, Cameron",1985-01-30,182cm,77kg,21 (6-1-14),10,2006-2008,21y 187d,23y 50d
1126,39,"Gordon, Nathan",1990-02-12,186cm,86kg,21 (13-0-8),18,2014-2015,24y 52d,25y 157d
1128,35,"Lennon, Ben",1995-07-05,188cm,84kg,21 (11-0-10),10,2014-2017,18y 316d,21y 277d
1182,40,"Sonsie, Tyler",2003-01-27,181cm,73kg,21 (6-1-14),7,2022-2024,19y 170d,21y 155d
13,,"Megson, Jack",1883-04-20,169cm,,20 (6-0-14),3,1908-1909,25y 12d,26y 32d
220,33,"Lynch, Dave",1902-03-13,179cm,78kg,20 (11-0-9),77,"1922-1923, 1926-1927, 1929",20y 110d,27y 80d
364,6,"Sleeth, Lou",1916-02-26,173cm,73kg,20 (9-1-10),22,1937-1938,21y 57d,22y 182d
435,25,"Taylor, Laurie",1918-10-21,175cm,75kg,20 (15-0-5),48,"1944, 1947",25y 198d,28y 320d
503,28,"Turner, Brian",1930-06-18,175cm,71kg,20 (9-0-11),8,1950-1952,20y 69d,22y 45d
543,20,"Walton, Jim",1934-06-03,188cm,92kg,20 (12-0-8),15,1954-1955,19y 320d,21y 78d
592,31,"Rowe, Larry",1941-01-10,182cm,80kg,20 (1-2-17),6,1958-1961,17y 190d,20y 228d
706,6,"Peardon, Derek",1950-09-24,183cm,87kg,20 (12-0-8),1,1968-1971,17y 342d,20y 296d
752,13,"Rae, Stephen",1952-04-30,180cm,84kg,20 (14-0-6),11,1973-1974,21y 12d,22y 53d
954,11,"Hernaman, Wayne",1972-05-15,180cm,80kg,20 (5-0-15),9,1993-1994,20y 317d,22y 104d
1003,40,"Proctor, Lionel",1979-11-27,179cm,74kg,20 (10-0-10),4,1998-2001,18y 155d,21y 166d
1005,15,"McKee, Steven",1978-06-20,199cm,104kg,20 (10-0-10),1,1998-1999,19y 331d,21y 40d
1052,34,"Graham, Mark",1973-03-13,190cm,84kg,20 (10-0-10),2,2005,32y 14d,32y 161d
1081,27,"Hislop, Tom",1988-06-07,185cm,85kg,20 (4-1-15),10,2009-2011,20y 301d,23y 32d
1138,21,"Townsend, Jacob",1993-06-20,187cm,89kg,20 (15-0-5),28,2016-2019,22y 278d,25y 352d
1177,28,"Gibcus, Josh",2003-04-04,196cm,87kg,20 (11-0-9),3,"2022, 2024",18y 347d,20y 345d
1178,6,"Tarrant, Robbie",1989-04-25,196cm,97kg,20 (10-1-9),,2022,32y 326d,33y 129d
1183,22,"Hopper, Jacob",1997-02-06,187cm,87kg,20 (7-1-12),9,2023-2024,26y 38d,27y 145d
77,16,"Jones, Bill",1891-01-29,179cm,77kg,19 (8-0-11),6,1911-1912,20y 90d,21y 208d
148,8,"Richardson, Howard",1894-10-29,175cm,,19 (7-0-12),14,1915-1917,20y 275d,22y 300d
239,2,"Harrison, Joe",1903-03-06,178cm,80kg,19 (8-1-10),1,1923-1925,20y 151d,22y 113d
272,4,"ONeill, Bob",1905-04-16,180cm,76kg,19 (12-0-7),4,"1925, 1927-1928",20y 149d,23y 145d
337,26,"Stenhouse, Jack",1911-11-20,185cm,76kg,19 (15-0-4),,1933-1934,21y 174d,22y 299d
378,28,"Smith, Harry",1916-07-09,173cm,74kg,19 (14-0-5),2,1938-1939,21y 316d,23y 13d
395,32,"Quinn, Jack",1918-06-11,169cm,76kg,19 (14-0-5),14,1940-1941,22y 25d,23y 87d
408,30,"Brannan, Andy",1919-06-04,164cm,55kg,19 (13-0-6),29,1942-1943,22y 346d,24y 99d
535,16,"Slater, Frank",1934-04-12,178cm,81kg,19 (6-1-12),,1953-1955,19y 76d,21y 81d
620,22,"Johnson, Ron",1938-05-20,170cm,71kg,19 (5-0-14),16,1961-1962,22y 330d,24y 55d
749,32,"Gaunt, Graham",1953-08-02,185cm,83kg,19 (13-1-5),8,"1972, 1976-1977",19y 17d,24y 25d
929,13,"Francis, Matthew",1970-08-29,196cm,86kg,19 (4-0-15),13,"1990-1992, 1994",19y 333d,23y 229d
930,10,"Scott, Allister",1971-06-24,187cm,88kg,19 (3-0-16),10,1990-1993,19y 34d,22y 65d
936,29,"Menegola, Todd",1967-12-25,185cm,83kg,19 (4-0-15),13,1991-1993,23y 102d,25y 212d
1034,13,"Blumfield, Justin",1977-11-24,188cm,86kg,19 (4-0-15),5,2003-2004,25y 124d,26y 278d
1173,32,"Ryan, Samson",2000-12-09,206cm,96kg,19 (7-0-12),14,"2021, 2023-2024",20y 198d,23y 180d
59,,"Ellis, Frank",1883-07-07,179cm,,18 (7-1-10),,1910,26y 297d,27y 58d
190,5,"Abbott, Paddy",1889-02-02,183cm,77kg,18 (12-0-6),1,1919-1920,30y 111d,31y 201d
236,26,"Fraser, Don",1901-10-25,173cm,67kg,18 (7-0-11),25,1923-1925,21y 234d,23y 308d
459,19,"Calverley, Des",1919-11-21,168cm,67kg,18 (10-0-8),1,1946-1947,26y 199d,27y 191d
467,29,"Watson, Jack",1927-08-29,183cm,79kg,18 (12-0-6),8,1947-1949,19y 240d,21y 363d
628,34,"Hickman, Robert",1942-12-26,185cm,86kg,18 (7-0-11),1,1961-1964,18y 145d,21y 212d
635,4,"Richmond, John",1943-02-23,185cm,84kg,18 (5-0-13),16,1961-1964,18y 177d,21y 69d
791,13,"Naylor, Greg",1957-08-30,183cm,84kg,18 (11-0-7),4,1977-1980,19y 278d,22y 239d
836,28,"Preston, Andy",1957-08-16,180cm,77kg,18 (12-0-6),6,1982-1983,24y 300d,25y 341d
838,25,"Sartori, Ian",1958-12-17,183cm,78kg,18 (8-0-10),7,"1982-1983, 1985",23y 212d,26y 208d
871,51,"Geary, Richard",1963-09-24,181cm,78kg,18 (7-0-11),10,1985-1986,21y 243d,22y 340d
982,23,"Jurica, Stephen",1976-06-26,194cm,104kg,18 (8-1-9),25,1995-1997,18y 349d,20y 318d
1006,14,"Plapp, Justin",1977-06-22,189cm,83kg,18 (10-0-8),22,1998-1999,21y 5d,22y 66d
390,34,"Reilly, Joe",1916-09-17,180cm,86kg,17 (14-0-3),,1940-1942,23y 244d,26y 2d
499,29,"Flintoff, Les",1930-10-05,177cm,78kg,17 (7-0-10),4,1950-1952,19y 213d,21y 330d
644,4,"Sheahan, John",1942-09-19,184cm,76kg,17 (8-1-8),11,"1962, 1965-1966",19y 319d,23y 267d
701,14,"Murphy, Ted",1947-08-03,188cm,89kg,17 (13-0-4),1,1968-1969,20y 282d,21y 266d
792,44,"Freame, Daryl",1957-12-28,178cm,73kg,17 (9-1-7),5,1977-1981,19y 214d,23y 230d
821,28,"Collins, Dennis",1953-05-17,178cm,78kg,17 (13-0-4),2,1980,26y 352d,27y 112d
888,9,"Frangalas, Gary",1963-05-06,183cm,86kg,17 (3-0-14),2,1986-1989,23y 74d,26y 119d
915,52,"Griffiths, Stuart",1969-01-31,177cm,76kg,17 (4-0-13),14,"1989, 1991-1992",20y 67d,23y 127d
1055,22,"Meyer, Danny",1986-08-03,183cm,78kg,17 (8-0-9),7,2005-2007,18y 271d,20y 296d
1181,42,"Clarke, Judson",2003-10-17,180cm,72kg,17 (7-0-10),14,2022-2024,18y 235d,20y 159d
115,6,"Ricketts, Charlie",1885-07-03,173cm,68kg,16 (4-0-12),11,1913-1914,27y 304d,28y 310d
237,27,"Pollock, Harry",1897-05-15,182cm,,16 (7-0-9),3,"1923-1924, 1926",26y 32d,29y 105d
276,27,"James, Jack",1892-10-31,165cm,61kg,16 (8-0-8),19,1926,33y 182d,33y 315d
323,24,"Ford, Frank",1907-12-25,171cm,71kg,16 (13-0-3),11,1931,23y 128d,23y 289d
359,31,"Hayes, Gerry",1914-11-09,180cm,79kg,16 (7-1-8),3,1936-1937,21y 273d,22y 285d
411,30,"Styles, Gordon",1920-07-04,178cm,80kg,16 (10-0-6),1,"1942-1943, 1945",21y 330d,25y 59d
425,28,"Curran, Kevin",1919-10-03,183cm,97kg,16 (10-1-5),28,1943-1945,23y 245d,25y 214d
432,23,"Bourke, Frank",1922-02-03,193cm,86kg,16 (7-0-9),48,"1943, 1946-1947",21y 199d,25y 173d
508,11,"Schofield, Peter",1932-02-12,183cm,75kg,16 (10-0-6),25,1951-1953,19y 166d,21y 128d
702,20,"McInnes, George",1946-05-10,193cm,99kg,16 (10-0-6),6,1968-1970,22y 43d,24y 90d
704,48,"McKenzie, Des",1945-03-15,185cm,89kg,16 (10-0-6),,1968-1969,23y 113d,24y 70d
824,37,"Nugent, Michael",1959-03-20,196cm,92kg,16 (12-0-4),2,1980-1981,21y 79d,22y 127d
846,4,"Ablett, Geoff",1955-03-13,180cm,80kg,16 (6-0-10),12,1983-1984,28y 55d,29y 172d
1062,34,"Hughes, Cleve",1987-01-15,193cm,94kg,16 (7-0-9),23,2006-2008,19y 103d,21y 186d
1096,46,"Webberley, Jeromey",1988-07-12,182cm,80kg,16 (6-0-10),3,2010-2012,21y 301d,24y 2d
1105,32,"Helbig, Brad",1992-02-28,185cm,83kg,16 (4-2-10),4,2011-2013,19y 24d,21y 57d
5,,"Hardiman, Jack",1877-07-27,182cm,,15 (6-0-9),5,1908,30y 280d,31y 40d
178,21,"Dooley, Pat",1898-10-20,183cm,,15 (6-0-9),1,1918-1919,19y 203d,20y 237d
199,19,"Rush, Gerald",1895-09-16,180cm,75kg,15 (12-0-3),16,1920,24y 228d,25y 2d
334,31,"McConchie, Jock",1910-05-30,175cm,68kg,15 (12-0-3),9,1932-1934,21y 364d,23y 361d
344,32,"Jordon, Clarrie",1909-05-31,173cm,70kg,15 (9-0-6),6,1934-1936,24y 360d,27y 83d
402,3,"Nagle, Phil",1921-08-21,165cm,67kg,15 (10-0-5),12,"1941, 1946",19y 339d,25y 10d
473,34,"Phillips, Pat",1927-06-09,178cm,73kg,15 (11-0-4),3,1947-1948,20y 12d,20y 355d
514,12,"Hogan, Kevin",1932-12-07,170cm,67kg,15 (5-0-10),10,1952-1953,19y 134d,20y 265d
552,34,"Claxton, John",1934-11-04,177cm,83kg,15 (5-0-10),18,1955-1956,20y 177d,21y 288d
588,8,"Reynolds, Doug",1933-09-04,178cm,71kg,15 (3-0-12),2,1958-1959,24y 276d,25y 310d
703,26,"Smythe, Keith",1949-05-09,173cm,76kg,15 (9-0-6),8,1968-1970,19y 51d,21y 98d
753,19,"Hewitt, Glynn",1953-01-16,185cm,82kg,15 (13-0-2),15,1973-1974,20y 130d,21y 206d
762,51,"Nettlefold, Bill",1953-04-24,178cm,89kg,15 (12-0-3),6,1974-1975,21y 10d,22y 135d
766,9,"Taubert, Steven",1953-10-06,193cm,85kg,15 (6-0-9),14,1974-1976,20y 280d,22y 278d
908,43,"Summers, Mark",1966-08-04,193cm,89kg,15 (2-0-13),4,1988-1989,21y 249d,23y 29d
1125,19,"Thomas, Matt",1987-02-27,186cm,87kg,15 (9-0-6),6,2014-2015,27y 16d,28y 183d
9,,"Lang, Bill",1882-07-06,182cm,89kg,14 (5-0-9),7,1908-1909,25y 301d,27y 4d
15,,"Pannam, Charlie",1874-10-02,173cm,80kg,14 (6-0-8),22,1908,33y 213d,33y 339d
142,28,"Sheehan, Jack",1890-05-29,175cm,,14 (3-1-10),,"1915, 1917",24y 351d,27y 25d
274,6,"Boromeo, Bert",1892-05-10,184cm,91kg,14 (8-0-6),8,1926,33y 356d,34y 96d
312,7,"Ryan, Stan",1902-12-05,183cm,83kg,14 (10-1-3),8,1929,26y 164d,26y 297d
454,20,"Eames, Jack",1922-12-22,183cm,83kg,14 (8-0-6),1,1946,23y 140d,23y 238d
487,12,"Irvine, Ron",1927-03-10,180cm,83kg,14 (6-0-8),,1949-1951,22y 58d,24y 168d
515,34,"Audas, Pat",1932-03-17,180cm,73kg,14 (5-0-9),7,1952-1954,20y 40d,22y 66d
533,25,"Patterson, Jeff",1928-11-03,183cm,80kg,14 (2-1-11),4,1953-1954,24y 208d,25y 186d
572,24,"Clements, Bill",1933-10-08,179cm,75kg,14 (5-0-9),2,1957-1959,23y 196d,25y 276d
744,46,"Nalder, Bill",1952-08-14,193cm,98kg,14 (11-0-3),5,1972-1973,19y 273d,21y 18d
754,23,"Thompson, Murray",1953-12-27,175cm,72kg,14 (7-0-7),3,"1973, 1976",19y 159d,22y 238d
759,18,"Brown, Mal",1946-10-26,187cm,97kg,14 (11-0-3),25,1974,27y 162d,27y 295d
863,15,"Barling, Tim",1965-06-21,200cm,90kg,14 (6-0-8),1,1984-1985,19y 72d,20y 50d
950,36,"Herman, Ian",1965-10-11,182cm,81kg,14 (3-0-11),6,1992-1993,26y 267d,27y 258d
969,2,"Dundas, Matthew",1971-12-07,178cm,73kg,14 (4-1-9),5,1994-1995,22y 109d,23y 256d
978,36,"Wigney, Stuart",1969-04-19,191cm,99kg,14 (10-0-4),1,1995-1996,25y 347d,27y 29d
999,24,"Blurton, Ashley",1975-03-05,177cm,81kg,14 (5-0-9),7,1998-1999,23y 24d,24y 63d
1017,34,"Mills, Andrew",1981-06-18,186cm,80kg,14 (9-0-5),5,2000-2003,18y 289d,22y 74d
1156,42,"Garthwaite, Ryan",1998-06-30,192cm,91kg,14 (6-0-8),,"2018-2019, 2021",19y 352d,23y 44d
1189,30,"Brown, Tom",2003-07-30,193cm,81kg,14 (2-0-12),,2023-2024,20y 28d,20y 336d
1191,44,"Campbell, Seth",2004-12-29,182cm,73kg,14 (2-0-12),7,2024,19y 71d,19y 184d
250,15,"Reid, Reuben",1903-01-16,185cm,88kg,13 (7-0-6),1,1924-1926,21y 129d,23y 133d
254,12,"Barnett, Jack",1899-07-25,165cm,66kg,13 (10-0-3),11,1924-1926,25y 8d,26y 343d
304,5,"Street, Charlie",1909-11-08,185cm,82kg,13 (8-0-5),2,"1928, 1930-1931",18y 209d,21y 294d
335,32,"Dockendorff, Sid",1908-05-06,175cm,75kg,13 (9-0-4),5,1932-1933,24y 64d,25y 133d
436,3,"Bower, Ray",1923-01-05,171cm,68kg,13 (6-1-6),8,1944-1945,21y 129d,22y 239d
446,6,"Murray, Sel",1917-11-23,185cm,76kg,13 (6-0-7),50,1945-1946,27y 170d,28y 211d
448,6,"Turner, Jack",1926-06-24,183cm,86kg,13 (8-0-5),,1945-1947,18y 336d,20y 306d
548,12,"McGown, Ken",1936-03-22,180cm,85kg,13 (9-0-4),,1954-1956,18y 75d,20y 142d
571,36,"Munro, Frank",1934-04-27,178cm,76kg,13 (9-0-4),,1956-1957,22y 78d,23y 63d
606,6,"OToole, Laurie",1937-10-23,188cm,83kg,13 (2-1-10),8,1959-1960,21y 275d,22y 274d
613,42,"Smith, Dennis",1939-02-01,183cm,86kg,13 (2-1-10),1,1960-1961,21y 96d,22y 73d
633,8,"Lockhart, Bob",1940-08-26,173cm,67kg,13 (3-0-10),7,1961-1962,20y 337d,21y 336d
652,28,"Arnold, Gary",1943-12-05,178cm,73kg,13 (5-0-8),7,1963-1964,19y 171d,20y 254d
714,32,"Robbins, Graham",1949-05-06,180cm,76kg,13 (10-0-3),9,1969-1971,20y 53d,21y 346d
748,43,"Hywood, Steve",1950-05-31,183cm,86kg,13 (11-1-1),,1972,22y 38d,22y 129d
806,12,"Waterson, Colin",1959-06-25,192cm,89kg,13 (8-0-5),9,"1978, 1980-1981",19y 62d,22y 30d
847,15,"Foley, Dan",1960-10-25,193cm,86kg,13 (3-0-10),9,1983-1985,22y 222d,24y 282d
848,44,"Lovett, Wally",1961-12-15,175cm,70kg,13 (8-0-5),6,1983-1984,21y 206d,22y 240d
1002,35,"Rombotis, John",1976-10-13,181cm,85kg,13 (5-0-8),2,1998-2000,21y 180d,23y 155d
1063,29,"Oakley-Nicholls, Jarrad",1988-02-09,188cm,82kg,13 (5-0-8),1,2006-2009,18y 86d,21y 139d
1186,41,"Banks, Sam",2003-04-02,187cm,74kg,13 (4-0-9),1,2023-2024,20y 95d,21y 89d
16,,"Ryan, Ted",1885-08-06,182cm,76kg,12 (3-0-9),2,1908,22y 270d,23y 30d
63,,"Scott, Bobby",1887-07-13,173cm,72kg,12 (4-0-8),7,1910-1911,22y 291d,23y 311d
156,26,"Eason, Alec",1889-11-08,175cm,78kg,12 (5-0-7),8,1916,26y 187d,26y 285d
196,23,"Parkinson, George",1892-03-30,183cm,84kg,12 (9-0-3),,1919-1921,27y 153d,29y 143d
212,18,"Osmond, Keith",1899-01-26,165cm,67kg,12 (4-0-8),,"1921, 1923-1924",22y 178d,25y 182d
478,23,"Tomlins, Stan",1923-11-22,185cm,82kg,12 (8-1-3),23,1948,24y 147d,24y 266d
523,27,"Collins, Gerald",1932-04-25,191cm,86kg,12 (3-0-9),6,1952-1953,20y 85d,21y 126d
570,16,"McGaw, Ray",1937-10-03,175cm,67kg,12 (6-0-6),,1956-1958,18y 271d,20y 247d
582,9,"Clifford, Bob",1937-03-06,185cm,86kg,12 (4-0-8),1,1958,21y 37d,21y 170d
608,38,"Anderson, Noel",1938-09-16,183cm,86kg,12 (1-2-9),,1959-1960,20y 333d,21y 346d
707,36,"Ball, Ray",1949-02-20,185cm,86kg,12 (8-0-4),,1969-1970,20y 58d,21y 176d
774,27,"Stonehouse, Ken",1956-04-23,180cm,76kg,12 (5-0-7),4,"1976, 1978",19y 346d,22y 20d
834,45,"Shand, Wayne",1961-01-17,183cm,83kg,12 (4-0-8),1,1982-1984,21y 104d,23y 172d
876,10,"Roberts, Michael",1959-07-27,180cm,76kg,12 (4-0-8),4,1986,26y 245d,27y 13d
940,12,"Underwood, Andrew",1967-07-14,185cm,88kg,12 (4-0-8),4,1991,23y 302d,24y 14d
942,37,"Esler, Ty",1971-09-10,203cm,104kg,12 (1-0-11),,1991-1993,19y 355d,21y 352d
976,34,"Murphy, Justin",1976-04-24,185cm,85kg,12 (9-0-3),9,1994-1995,18y 41d,19y 34d
1079,34,"Browne, Andrew",1990-07-07,205cm,105kg,12 (3-0-9),2,2009-2011,18y 262d,21y 9d
1121,27,"Edwards, Aaron",1984-03-02,184cm,92kg,12 (7-0-5),15,2013-2014,29y 93d,30y 110d
37,,"Price, Syd",1887-07-16,171cm,75kg,11 (5-0-6),7,1909-1910,21y 289d,22y 288d
136,25,"Granger, Allan",1894-07-29,178cm,,11 (4-0-7),11,1914-1915,19y 361d,21y 23d
513,36,"Geard, Rex",1927-01-10,187cm,85kg,11 (4-0-7),,1952-1953,25y 100d,26y 168d
563,40,"Evely, Bill",1934-07-27,182cm,76kg,11 (4-0-7),5,"1956, 1958",21y 276d,24y 27d
639,27,"Smith, Bruce",1944-06-28,191cm,83kg,11 (1-0-10),10,"1962, 1964",17y 297d,20y 20d
648,29,"Evans, Rodney",1946-01-02,178cm,76kg,11 (4-0-7),,1963-1964,17y 113d,18y 184d
650,21,"Garland, Tom",1943-05-11,183cm,83kg,11 (3-0-8),1,1963-1964,20y,21y 12d
709,34,"Thomas, Ron",1948-10-04,185cm,83kg,11 (5-0-6),,1969-1970,20y 211d,21y 287d
786,9,"Dickson, Glenn",1954-11-05,185cm,79kg,11 (6-1-4),10,1977-1978,22y 162d,23y 287d
795,1,"Einsiedel, John",1954-06-18,183cm,78kg,11 (6-1-4),1,1978,23y 287d,24y 48d
804,42,"McMillan, Geoff",1958-05-22,188cm,86kg,11 (4-0-7),5,1978-1979,20y 40d,21y 39d
837,27,"Pirrie, Stephen",1961-03-23,191cm,92kg,11 (8-0-3),,"1982, 1984",21y 88d,23y 8d
894,16,"Wallace, Terry",1958-12-13,183cm,85kg,11 (2-0-9),7,1987,28y 119d,28y 189d
957,24,"Schaefer, Robert",1972-02-14,200cm,105kg,11 (4-0-7),3,1993,21y 42d,21y 147d
1044,22,"Roach, Tom",1985-09-02,184cm,78kg,11 (3-0-8),1,2004-2006,18y 228d,21y
1171,26,"Collier-Dawkins, Riley",2000-02-03,189cm,89kg,11 (5-1-5),3,2021-2022,21y 86d,22y 85d
1174,37,"Parker, Matthew",1996-01-25,190cm,75kg,11 (4-1-6),7,2021-2022,25y 172d,26y 89d
117,23,"Arbrew, Jack",1889-08-04,180cm,80kg,10 (4-0-6),,1913-1914,23y 293d,24y 334d
139,26,"McDonald, Jim",1887-06-19,180cm,76kg,10 (3-0-7),12,1915,27y 309d,28y 56d
157,13,"Martini, Percy",1888-06-04,183cm,85kg,10 (5-0-5),22,1916,27y 351d,28y 55d
227,12,"Griffiths, Dave",1895-12-04,185cm,91kg,10 (3-0-7),7,1923,27y 152d,27y 250d
244,30,"Smith, Basil",1901-12-21,183cm,83kg,10 (5-0-5),6,1924,22y 127d,22y 260d
251,21,"Maxfield, Jim",1893-08-27,170cm,70kg,10 (6-0-4),2,1924-1925,30y 278d,32y 16d
305,33,"Baker, Reg",1899-09-18,163cm,60kg,10 (9-0-1),7,1928,28y 265d,28y 349d
348,3,"Davey, Pat",1913-04-14,183cm,76kg,10 (9-0-1),4,"1935-1936, 1942",22y 13d,29y 81d
528,10,"Green, Bill",1932-01-26,183cm,80kg,10 (2-0-8),,1953-1954,21y 82d,22y 116d
587,6,"De Lorenzo, Tista",1934-08-23,183cm,84kg,10 (3-0-7),,1958,23y 288d,24y
590,27,"Gardner, Ian",1937-01-19,191cm,81kg,10 (1-0-9),6,1958-1959,21y 181d,22y 117d
640,13,"Behan, Lance",1942-10-19,193cm,74kg,10 (2-0-8),,1962-1963,19y 205d,20y 218d
657,51,"Lawson, Jeff",1944-10-14,170cm,73kg,10 (3-0-7),7,1963-1964,18y 300d,19y 313d
697,45,"Beale, Darryl",1947-06-23,187cm,89kg,10 (7-0-3),,1968,20y 302d,21y 13d
729,20,"Beckwith, Bill",1954-05-31,175cm,75kg,10 (7-0-3),8,1971-1972,16y 316d,18y 59d
733,35,"Tschirpig, Bruce",1949-10-11,180cm,76kg,10 (7-0-3),12,"1971, 1976",21y 202d,26y 245d
764,50,"Betts, Gerald",1954-10-05,187cm,85kg,10 (7-0-3),,1974-1975,19y 267d,20y 301d
788,9,"Noonan, Alan",1947-10-13,188cm,92kg,10 (6-1-3),14,1977,29y 199d,29y 332d
802,18,"Davidson, Garry",1954-02-10,183cm,84kg,10 (5-0-5),9,1978,24y 106d,24y 190d
805,49,"Berry, Jeff",1957-03-25,183cm,80kg,10 (6-0-4),,1978-1979,21y 154d,22y 153d
842,41,"Rolfe, Michael",1962-09-14,180cm,76kg,10 (3-0-7),4,1983,20y 223d,20y 291d
843,42,"Winton, Brian",1963-07-28,192cm,83kg,10 (3-0-7),3,1983,19y 271d,19y 360d
1037,26,"Nicholls, Bill",1981-01-02,184cm,86kg,10 (2-0-8),2,2003-2004,22y 128d,23y 239d
1109,47,"Maric, Addam",1990-04-18,176cm,76kg,10 (4-0-6),1,2012,21y 346d,22y 101d
1113,43,"Elton, Todd",1993-04-29,197cm,100kg,10 (5-0-5),2,"2012, 2015-2017",19y 62d,24y 28d
1123,36,"McDonough, Matt",1994-01-26,180cm,82kg,10 (2-0-8),1,2013-2015,19y 203d,21y 174d
1194,42,"Lefau, Mykelti",1998-06-22,195cm,94kg,10 (1-0-9),14,2024,25y 276d,25y 345d
92,8,"ODonoghue, Alan",1891-06-03,183cm,78kg,9 (2-0-7),7,1912,20y 329d,21y 12d
109,8,"Walker, Harry",1892-08-07,,,9 (2-0-7),5,1912-1913,19y 355d,20y 325d
153,18,"Derrick, Ted",1894-05-14,170cm,,9 (4-0-5),6,1916,21y 358d,22y 62d
